P_NAME,P_STATUS,P_YEAR,P_UPDATED,P_PERIOD,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ANGULAR_DISTANCE,P_DETECTION,S_RA,S_DEC,S_DISTANCE,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_FLUX,P_TYPE,S_TYPE_TEMP,S_DEC_T,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,S_CONSTELLATION,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,KM_Clusters
1251.0,3.0,2016.0,72.0,7.06599,0.0591,-0.0025,0.0025,0.11986309198585941,0.325,8.0,335.75955,-10.48858,181.63,0.55,-0.07,0.07,0.49,-0.07,0.07,175.0,4127.0,4.79,0.0,17.866674,4.0,4.0,2415.0,0.37798279,0.0,0.0,1.0,3.0,83.0,2.32047,5.9945993,1
1254.0,3.0,2016.0,72.0,6.98541,0.0559,-0.0025,0.0025,0.11986309198585941,0.363,8.0,341.72443,-9.881619,153.86,0.48,-0.06,0.06,0.43,-0.05,0.05,175.0,4006.0,4.85,0.0,13.653554,4.0,4.0,2405.0,0.36121425,0.0,0.0,1.0,3.0,83.0,2.15232,5.2758784,1
1255.0,3.0,2016.0,115.0,5.577212,0.04,-0.005,0.004,0.11,0.601,8.0,334.62198,-9.612382,66.56,0.27,-0.09,0.08,0.33,-0.03,0.03,175.0,3360.47,4.25645276590931,0.0,7.8242036,5.0,5.0,2400.0,0.29817579,0.0,0.0,1.0,3.0,83.0,1.07616,1.2643012,1
1256.0,3.0,2016.0,115.0,15.189034,0.078,-0.01,0.007,0.11,1.17,8.0,334.62198,-9.612382,66.56,0.27,-0.09,0.08,0.33,-0.03,0.03,175.0,3360.47,4.25645276590931,0.0,2.0576472,5.0,5.0,2400.0,0.29817579,0.0,0.0,1.0,3.0,83.0,1.15463,1.6270695,1
1257.0,3.0,2016.0,115.0,7.760178,0.05,-0.006,0.004,0.11,0.751,8.0,334.62198,-9.612382,66.56,0.27,-0.09,0.08,0.33,-0.03,0.03,175.0,3360.47,4.25645276590931,0.0,5.0074903,5.0,5.0,2400.0,0.29817579,0.0,0.0,1.0,3.0,83.0,1.0089,1.0032039,1
1355.0,3.0,2016.0,66.0,19.76172,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,295.75413,42.537476,496.0,0.78,-0.06,0.07,0.74,-0.06,0.09,175.0,5328.0,4.59,0.0,22.811845,4.0,3.0,1038.0,0.41943147,0.0,0.0,1.0,30.0,75.0,1.53577,2.9746177,0
1357.0,3.0,2016.0,66.0,12.439312,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,296.54753,44.941933,299.0,0.81,-0.03,0.03,0.78,-0.03,0.03,175.0,5066.0,4.56,0.0,37.445616,5.0,4.0,1396.0,0.45854042,0.0,0.0,1.0,30.0,75.0,1.27794,2.1773119,0
1358.0,3.0,2016.0,66.0,11.350119,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,282.85993,42.665764,281.0,0.59,-0.03,0.02,0.57,-0.02,0.02,175.0,4027.0,4.7,0.0,11.144071,4.0,4.0,1062.0,0.36346005,0.0,0.0,1.0,51.0,49.0,2.17474,5.369523,0
1361.0,3.0,2016.0,66.0,34.268571,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,289.19264,44.149326,610.0,0.86,-0.04,0.04,0.82,-0.04,0.05,175.0,5253.0,4.55,0.0,11.903277,4.0,4.0,1271.0,0.44168594,0.0,0.0,1.0,30.0,75.0,2.32047,5.9945993,0
1364.0,3.0,2016.0,66.0,18.93055,1.9163466225680938,-0.09711531307857046,0.10395002001457408,0.11986309198585941,60.00763566771654,8.0,290.24807,44.435242,433.0,0.81,-0.04,0.04,0.76,-0.03,0.03,175.0,4954.0,4.59,0.0,18.571475,4.0,4.0,1312.0,0.4247413,0.0,0.0,1.0,30.0,75.0,2.15232,5.2758784,0
